phon, syll, cons, son, cont, delrel, approx, nas, voi, spread, constr, lab, round, labdent, cor, ant, dist, strid, lat, dor, hi, lo, fr, bk, tns
p, -1, +1, -1, -1, -1, -1, -1, -1, -1, -1, +1, -1, -1, -1, 0, 0, 0, -1, -1, 0, 0, 0, 0, 0
t, -1, +1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, +1, +1, -1, -1, -1, -1, 0, 0, 0, 0, 0
k, -1, +1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0, -1, +1, +1, -1, 0, 0, 0
b, -1, +1, -1, -1, -1, -1, -1, +1, -1, -1, +1, -1, -1, -1, 0, 0, 0, -1, -1, 0, 0, 0, 0, 0
d, -1, +1, -1, -1, -1, -1, -1, +1, -1, -1, -1, -1, -1, +1, +1, -1, -1, -1, -1, 0, 0, 0, 0, 0
g, -1, +1, -1, -1, -1, -1, -1, +1, -1, -1, -1, -1, -1, -1, 0, 0, 0, -1, +1, +1, -1, 0, 0, 0
tS, -1, +1, -1, -1, +1, -1, -1, -1, -1, -1, -1, -1, -1, +1, -1, +1, +1, -1, -1, 0, 0, 0, 0, 0
dZ, -1, +1, -1, -1, +1, -1, -1, +1, -1, -1, -1, -1, -1, +1, -1, +1, +1, -1, -1, 0, 0, 0, 0, 0
f, -1, +1, -1, +1, +1, -1, -1, -1, -1, -1, +1, -1, +1, -1, 0, 0, 0, -1, -1, 0, 0, 0, 0, 0
T, -1, +1, -1, +1, +1, -1, -1, -1, -1, -1, -1, -1, -1, +1, +1, +1, -1, -1, -1, 0, 0, 0, 0, 0
s, -1, +1, -1, +1, +1, -1, -1, -1, -1, -1, +1, -1, +1, +1, +1, -1, +1, -1, -1, 0, 0, 0, 0, 0
S, -1, +1, -1, +1, +1, -1, -1, -1, -1, -1, +1, -1, +1, +1, -1, +1, +1, -1, -1, 0, 0, 0, 0, 0
h, -1, -1, -1, +1, +1, -1, -1, -1, +1, -1, +1, -1, +1, -1, 0, 0, 0, -1, -1, 0, 0, 0, 0, 0
v, -1, +1, -1, +1, +1, -1, -1, +1, -1, -1, +1, -1, +1, -1, 0, 0, 0, -1, -1, 0, 0, 0, 0, 0
D, -1, +1, -1, +1, +1, -1, -1, +1, -1, -1, -1, -1, -1, +1, +1, +1, -1, -1, -1, 0, 0, 0, 0, 0
z, -1, +1, -1, +1, +1, -1, -1, +1, -1, -1, +1, -1, +1, +1, +1, -1, +1, -1, -1, 0, 0, 0, 0, 0
Z, -1, +1, -1, +1, +1, -1, -1, +1, -1, -1, +1, -1, +1, +1, -1, +1, +1, -1, -1, 0, 0, 0, 0, 0
m, -1, +1, +1, -1, 0, -1, +1, +1, -1, -1, +1, -1, -1, -1, 0, 0, 0, -1, -1, 0, 0, 0, 0, 0
n, -1, +1, +1, -1, 0, -1, +1, +1, -1, -1, -1, -1, -1, +1, +1, -1, -1, -1, -1, 0, 0, 0, 0, 0
N, -1, +1, +1, -1, 0, -1, +1, +1, -1, -1, -1, -1, -1, -1, 0, 0, 0, -1, +1, +1, -1, 0, 0, 0
r, -1, -1, +1, +1, 0, +1, -1, +1, -1, -1, -1, -1, -1, +1, -1, +1, -1, -1, -1, 0, 0, 0, 0, 0
j, -1, -1, +1, +1, 0, +1, -1, +1, -1, -1, -1, -1, -1, -1, 0, 0, 0, -1, +1, +1, -1, +1, -1, +1
l, -1, +1, +1, +1, 0, +1, -1, +1, -1, -1, -1, -1, -1, +1, +1, -1, -1, +1, -1, 0, 0, 0, 0, 0
